feature,dominant_pc,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
delta_cpu_ns,14,0.4963175274253224,-0.08780916540658233,0.02704072713674543,0.008090601412662489,-0.006769087059677488,0.04871077744287813,0.020761396101168516,0.0057066281874243166,0.0030144451354313807,0.023409689380673383,0.024129127926795217,0.0669427768118638,-0.3019436268279451,-0.582337833671446,-0.055434594210806355,-0.13317087926287224,-0.5341318008723235,-0.01635320110118012
delta_cycles,17,0.5149338153381798,-0.10545009675667608,0.009073478174350915,0.01695781534973121,0.009859619834985024,0.006850500152653224,0.00047669128331390056,0.01428773292794948,0.011492979136504499,-0.0031660855537657085,0.033504772123452785,0.056262000236447236,-0.1551272738671523,-0.21754314383784773,0.1216381665638353,0.14100336867408575,0.7814916769959659,0.04217130573841079
delta_instructions,14,0.44396410142615295,-0.09904794934394578,-0.018636737195654632,-0.19601740176996726,-0.00012310594526609875,-0.05939743486252243,0.055688791032558596,0.008323121033967006,-0.07012445703905168,-0.05296721761266098,-0.29009282084963073,-0.10222291028984642,-0.3667049652222723,0.6969730337373319,-0.0015001771040458309,-0.004438936302321342,-0.15819008141906352,-0.0005593360130629959
delta_cache_misses,13,0.4224346528114916,-0.10271642776443621,0.009533003163069587,-0.07703200559644348,0.03757917268160375,-0.02253611292377195,0.12223085909053723,0.028426743960418527,-0.03020775246739412,-0.18742207522226392,-0.14504494673974413,-0.06240102652991533,0.8452006792898654,0.018502130015384047,-0.026055636262420842,-0.03956282596567738,-0.09676128106549944,-0.004484973576722903
delta_branch_instructions,11,0.25463356258637054,-0.01434913043738845,0.0008758832685317546,0.42680913085422445,0.030961483377185264,-0.05693457430943912,-0.19506613891455038,0.02223661817798837,0.27748960565813535,0.20783519223922903,0.649347142522049,0.17609039247344133,0.0925993882970177,0.33168217668162375,0.007613728665249681,-0.08598216895402953,-0.09975221254755462,0.03462686194938172
delta_io_bytes,4,0.02135639544107234,0.04917498302809806,0.1078358825054683,0.6038287644566771,-0.019640867365726507,-0.12643896515214667,0.20881863699986947,-0.05291722478797607,0.25326414911874046,0.36432115772711166,-0.44028218327445723,-0.4057800611571173,0.005624340556936571,-0.044888493030320435,0.00594892462093392,0.01349152064563818,0.010486284194741976,0.018906679205768998
delta_net_send_bytes,5,-0.019031201241431397,0.05963887863718945,0.2500005470648845,0.11519023169300449,-0.599370495694859,-0.3354124294372629,0.19093449801635823,-0.0557740598186386,0.09375982677952045,-0.15141582848596963,-0.1711633653405225,0.5884641737905096,-6.480426636567469e-05,0.02824191891512356,-0.008358482922341101,0.026534581854859608,-0.005549967095194327,-0.009577944417474778
context_switches,16,0.14861915657034513,0.53430444533324,-0.13269304260789125,-0.05264574190933868,0.026521828208857436,-0.07611725960070999,-0.08690286443137174,-0.0173684241288296,0.034951830250982495,0.06662670826673354,0.02058158246800131,0.005230929254548422,0.031219480514107847,-0.02193317693300252,-0.20543264269259495,0.7130041426018416,-0.1044606959192627,-0.2977316335375474
syscall_count,16,0.08712617367196927,0.5519096598594748,-0.10689396105951056,0.00976225806478807,0.036254584168366695,0.030963058047226696,0.1811776929791851,0.05577402211407181,-0.041351159949140855,-0.043935860333084824,0.01459931787042211,0.010589648736958876,-0.022152843623981948,0.023229066182891316,0.15589141519808689,-0.5710210821198187,0.12400919683269024,-0.5170421117863305
delta_rss_memory,8,-0.014445131197608829,0.011345823514900986,0.020974669387535064,-0.11914479707130693,-0.2068649054624347,0.18580963402189787,-0.16653414674736947,0.8798908164269296,0.27320237081259313,0.12249752486758729,-0.1247627262945656,-0.0023461010433771523,0.021935312300258646,-0.006858316088007093,0.0020428550312436957,-0.002003806773528629,0.0027271982619819918,0.0026775666107069175
syscall_class_file,18,0.09039370752894679,0.549486353122848,-0.14228454542036104,-0.14085328199713473,-0.005454481180607108,-0.09438220432188378,-0.061881249058253526,-0.0495941590752915,0.05136431977574642,0.05980037404601959,-0.05157862314994906,0.005113019096637538,0.02474807541020666,-0.025278358555666226,0.08509577347194422,-0.14915860683216575,-0.0076150841103278894,0.7712863649631029
syscall_class_network,15,-0.008960876775737852,0.10894713492986222,0.6130206767819892,-0.11069126056675188,0.16050711824414485,-0.17286114223921517,-0.039117704057593856,0.052846624874700175,0.060720691858591865,-0.14380492235952586,0.11946881448088614,-0.1782217026259715,-0.014825585719927169,-0.019052373848074327,0.6534003543324826,0.16573058034512575,-0.11763997346908513,-0.028523945692810464
syscall_class_memory,6,0.01483425861373419,0.08866039532763594,0.06025053382143212,0.10844884599571719,-0.09192071052379147,0.5916617952278123,-0.2215556676373519,-0.2868729762097005,0.4982651772938039,-0.4609246373720268,-0.15091049219771333,-0.011065451395144718,-0.037240055756642625,0.037587414023839166,0.01049695369907892,0.009779057844289361,-0.0016168718315618896,-0.0027730689611663844
syscall_class_process,6,0.0560732307556013,0.0712501656145706,0.26162944953276146,-0.010449698408264459,-0.06249635853249214,0.5575865601875347,-0.06137737307197898,-0.13941954398381767,-0.35467167420112244,0.5485685919226175,-0.13942178485880796,0.2997541980191955,0.11725073970702472,0.08062664990399807,0.16245264855221586,0.04261557135842147,-0.027165607365019398,0.0016312202659001893
syscall_class_other,4,0.0020027468416212143,0.1204217974464256,0.029611267045148763,0.5128039669104689,0.11700835552316531,0.2222492026887948,0.2536124009726482,0.317005411921388,-0.47909257340369865,-0.4366427571765437,0.06388252833900669,0.044296185533357124,-0.08524431887756215,0.0546089771307969,-0.027947706567913694,0.1421844606268776,-0.03964438669226887,0.18629243684456354
syscall_class_sched,7,-0.03545061906851582,-0.019718370702806427,0.01398055908279224,-0.24071427732307163,0.030928281496494348,0.24491552134756736,0.8183366180179832,0.002930000034454369,0.3134441484337262,0.11299860468897038,0.26460966099757977,-0.0026541741825056426,-0.03527064062701636,0.037124181619626044,-0.02922094206127995,0.12874971069646327,-0.01291057993820378,0.0912773245375786
syscall_class_signal,15,0.062223338994613075,0.1354432626765999,0.5070079713654576,-0.11138532122786368,-0.3581174906299531,0.04862657646864691,-0.05303081327327762,-0.04223289863238447,-0.1693408583414846,-0.014886347104894655,0.2525094266266965,-0.4329042851793034,-0.01233401171742996,0.009185421400107334,-0.5138337688247454,-0.1307908769634313,0.1034768409334014,0.031154899308839547
syscall_class_time,5,-0.02578790476585794,0.0666068362245946,0.4109698815618887,-0.030055812535148958,0.6418733124331277,-0.09507094061943153,-0.01685542245230403,0.07476194824289528,0.17229319010220887,-8.265619349001388e-05,-0.1873446588690605,0.3532279806098163,-0.027321165081165954,0.013797613875072931,-0.4341007635379118,-0.11202595108263426,0.07819560452915501,0.024248581495778795
