feature,pearson,spearman
syscall_class_network,0.3865803285906305,0.4435046447696083
syscall_class_file,0.3306385809756487,0.3740977890686656
syscall_count,0.19744870994781683,0.3731615701757183
delta_net_send_bytes,0.33235593131606345,0.36458456030998354
delta_cycles,0.2790882158036654,0.3610670607333155
syscall_class_signal,0.27960148473536306,0.35063815396577347
syscall_class_other,0.1356535696189973,0.33854436121358444
delta_io_bytes,0.30819334406516935,0.2539983291237598
delta_cpu_ns,0.44971985815404825,0.20264953712275124
syscall_class_memory,0.16369199689891784,0.1490243915726622
delta_instructions,0.06344467220511159,0.12426022812996436
delta_branch_instructions,0.060256237902201165,0.11697411628223502
syscall_class_time,0.08263138558761775,0.07811014849254377
delta_rss_memory,0.06018352389451769,0.055906262288671106
syscall_class_process,-0.006185569156535738,0.03818908980280284
syscall_class_sched,0.0054299510194840105,-0.028099694519912094
delta_cache_misses,-0.6759960850921558,-0.6370691281184065
context_switches,,
